Group,Task,Date,Start,Finish,Minutes,Duration
Life,Family,2019/09/01,12:00 AM,2:42 AM,162,02:42:00
Life,Family,2019/09/01,10:54 AM,10:46 PM,712,11:52:00
Life,Family,2019/09/02,1:33 PM,11:59 PM,627,10:27:00
Life,Family,2019/09/03,12:00 AM,1:32 AM,92,01:32:00
Life,Family,2019/09/03,10:14 AM,11:15 PM,781,13:01:00
Life,Family,2019/09/04,8:10 AM,8:44 AM,34,00:34:00
Life,Family,2019/09/04,7:13 PM,10:56 PM,223,03:43:00
Life,Family,2019/09/05,6:53 PM,11:59 PM,307,05:07:00
Life,Family,2019/09/06,12:00 AM,1:21 AM,81,01:21:00
Life,Family,2019/09/06,10:05 AM,11:59 PM,835,13:55:00
Life,Family,2019/09/07,12:00 AM,12:44 AM,44,00:44:00
Life,Family,2019/09/07,10:01 AM,12:21 PM,140,02:20:00
Life,Family,2019/09/07,10:23 PM,11:59 PM,97,01:37:00
Life,Family,2019/09/08,12:00 AM,12:44 AM,44,00:44:00
Life,Family,2019/09/08,10:26 AM,11:47 AM,81,01:21:00
Life,Family,2019/09/08,7:12 PM,11:59 PM,288,04:48:00
Life,Family,2019/09/09,12:00 AM,3:16 AM,196,03:16:00
Life,Family,2019/09/09,11:05 AM,11:59 PM,775,12:55:00
Life,Family,2019/09/10,12:00 AM,12:35 AM,35,00:35:00
Life,Family,2019/09/10,11:00 AM,11:39 PM,759,12:39:00
Life,Family,2019/09/11,3:27 PM,11:59 PM,513,08:33:00
Life,Family,2019/09/12,12:00 AM,1:54 AM,114,01:54:00
Life,Family,2019/09/12,11:08 AM,1:48 PM,160,02:40:00
Life,Family,2019/09/12,9:28 PM,11:21 PM,113,01:53:00
Life,Family,2019/09/12,11:21 PM,11:59 PM,39,00:39:00
Life,Family,2019/09/13,12:00 AM,12:09 AM,9,00:09:00
Life,Family,2019/09/13,7:05 PM,11:56 PM,291,04:51:00
Life,Family,2019/09/14,10:23 AM,4:25 PM,362,06:02:00
Life,Family,2019/09/14,11:06 PM,11:59 PM,54,00:54:00
Life,Family,2019/09/15,12:00 AM,1:31 AM,91,01:31:00
Life,Family,2019/09/15,10:43 AM,12:51 PM,128,02:08:00
Life,Family,2019/09/15,7:18 PM,11:59 PM,282,04:42:00
Life,Family,2019/09/16,12:00 AM,12:14 AM,14,00:14:00
Life,Family,2019/09/16,11:27 AM,11:59 PM,753,12:33:00
Life,Family,2019/09/17,12:00 AM,1:41 AM,101,01:41:00
Life,Family,2019/09/17,10:38 AM,11:59 PM,802,13:22:00
Life,Family,2019/09/18,12:00 AM,1:05 AM,65,01:05:00
Life,Family,2019/09/18,10:29 AM,10:46 AM,17,00:17:00
Life,Family,2019/09/18,10:50 AM,4:43 PM,353,05:53:00
Life,Family,2019/09/18,4:43 PM,11:59 PM,437,07:17:00
Life,Family,2019/09/19,12:00 AM,12:09 AM,9,00:09:00
Life,Family,2019/09/19,9:15 AM,9:49 AM,34,00:34:00
Life,Family,2019/09/19,2:28 PM,3:53 PM,85,01:25:00
Life,Family,2019/09/19,5:25 PM,11:54 PM,389,06:29:00
Life,Family,2019/09/20,9:20 AM,12:58 PM,218,03:38:00
Life,Family,2019/09/20,9:59 PM,11:59 PM,121,02:01:00
Life,Family,2019/09/21,12:00 AM,12:31 AM,31,00:31:00
Life,Family,2019/09/21,9:56 AM,10:07 AM,11,00:11:00
Life,Family,2019/09/21,10:07 AM,10:47 AM,40,00:40:00
Life,Family,2019/09/21,7:59 PM,8:05 PM,6,00:06:00
Life,Family,2019/09/21,8:24 PM,11:59 PM,216,03:36:00
Life,Family,2019/09/22,12:00 AM,12:09 AM,9,00:09:00
Life,Family,2019/09/22,9:41 AM,11:46 AM,125,02:05:00
Life,Family,2019/09/22,10:23 PM,11:59 PM,97,01:37:00
Life,Family,2019/09/23,12:00 AM,12:34 AM,34,00:34:00
Life,Family,2019/09/23,9:34 AM,10:09 AM,35,00:35:00
Life,Family,2019/09/23,9:39 PM,11:59 PM,141,02:21:00
Life,Family,2019/09/24,12:00 AM,12:58 AM,58,00:58:00
